,year,State,Race,Total population,Total citizen population,Total registered,Percent registered (Total),Margin of error 1,Margin of error 1,Margin of error 1,Margin of error 1,Percent registered (Citizen),Margin of error 1,Margin of error 1,Margin of error 1,Margin of error 1,Total voted,Percent voted (Total),Margin of error 1,Margin of error 1,Margin of error 1,Margin of error 1,Percent voted (Citizen),Margin of error 1,Margin of error 1,Margin of error 1,Margin of error 1
304,2014,MONTANA,Hispanic,16,16,11,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),8,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
308,2014,NEBRASKA,Total,"1,400","1,306",873,62.4,2.6,2.6,2.6,2.8,66.9,2.6,2.6,2.6,2.8,579,41.4,2.6,2.6,2.6,2.8,44.3,2.6,2.6,2.6,2.8
311,2014,NEBRASKA,White,"1,295","1,222",826,63.8,2.7,2.7,2.8,2.9,67.6,2.7,2.7,2.8,2.9,552,42.6,2.7,2.7,2.8,2.9,45.2,2.7,2.7,2.8,2.9
313,2014,NEBRASKA,Black,55,53,36,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),21,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
315,2014,NEBRASKA,Hispanic,135,65,26,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),13,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
319,2014,NEVADA,Total,"2,128","1,858","1,088",51.1,2.6,2.7,2.4,2.7,58.5,2.6,2.7,2.4,2.7,693,32.6,2.6,2.7,2.4,2.7,37.3,2.6,2.7,2.4,2.7
322,2014,NEVADA,White,"1,571","1,388",846,53.8,3.0,3.1,2.9,3.1,61.0,3.0,3.1,2.9,3.1,573,36.5,3.0,3.1,2.9,3.1,41.3,3.0,3.1,2.9,3.1
324,2014,NEVADA,Black,193,191,124,64.6,9.9,10.0,9.7,9.7,65.2,9.9,10.0,9.7,9.7,61,31.6,9.9,10.0,9.7,9.7,31.9,9.9,10.0,9.7,9.7
326,2014,NEVADA,Hispanic,527,351,189,35.9,7.8,10.0,6.3,8.9,53.9,7.8,10.0,6.3,8.9,97,18.4,7.8,10.0,6.3,8.9,27.6,7.8,10.0,6.3,8.9
330,2014,NEW HAMPSHIRE,Total,"1,047","1,015",694,66.3,2.4,2.4,2.6,2.6,68.3,2.4,2.4,2.6,2.6,509,48.6,2.4,2.4,2.6,2.6,50.2,2.4,2.4,2.6,2.6
333,2014,NEW HAMPSHIRE,White,996,977,669,67.1,2.5,2.5,2.6,2.7,68.5,2.5,2.5,2.6,2.7,490,49.2,2.5,2.5,2.6,2.7,50.2,2.5,2.5,2.6,2.7
335,2014,NEW HAMPSHIRE,Black,15,12,7,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),4,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
337,2014,NEW HAMPSHIRE,Hispanic,23,21,15,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),10,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
341,2014,NEW JERSEY,Total,"6,820","5,909","3,919",57.5,1.8,1.9,1.7,1.9,66.3,1.8,1.9,1.7,1.9,"2,151",31.5,1.8,1.9,1.7,1.9,36.4,1.8,1.9,1.7,1.9
344,2014,NEW JERSEY,White,"5,146","4,645","3,161",61.4,2.0,2.1,2.0,2.1,68.0,2.0,2.1,2.0,2.1,"1,771",34.4,2.0,2.1,2.0,2.1,38.1,2.0,2.1,2.0,2.1
346,2014,NEW JERSEY,Black,953,779,496,52.0,5.9,6.3,5.4,6.2,63.6,5.9,6.3,5.4,6.2,276,29.0,5.9,6.3,5.4,6.2,35.4,5.9,6.3,5.4,6.2
348,2014,NEW JERSEY,Hispanic,"1,229",805,497,40.4,6.6,8.1,5.6,7.9,61.7,6.6,8.1,5.6,7.9,274,22.3,6.6,8.1,5.6,7.9,34.1,6.6,8.1,5.6,7.9
352,2014,NEW MEXICO,Total,"1,536","1,417",919,59.9,2.3,2.4,2.3,2.5,64.9,2.3,2.4,2.3,2.5,646,42.1,2.3,2.4,2.3,2.5,45.6,2.3,2.4,2.3,2.5
355,2014,NEW MEXICO,White,"1,234","1,125",753,61.0,2.6,2.6,2.6,2.8,66.9,2.6,2.6,2.6,2.8,546,44.2,2.6,2.6,2.6,2.8,48.5,2.6,2.6,2.6,2.8
357,2014,NEW MEXICO,Black,40,39,28,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),8,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
359,2014,NEW MEXICO,Hispanic,601,503,302,50.2,6.0,6.4,5.5,6.3,60.0,6.0,6.4,5.5,6.3,179,29.8,6.0,6.4,5.5,6.3,35.6,6.0,6.4,5.5,6.3
363,2014,NEW YORK,Total,"15,274","13,611","8,078",52.9,1.2,1.3,1.1,1.2,59.4,1.2,1.3,1.1,1.2,"4,680",30.6,1.2,1.3,1.1,1.2,34.4,1.2,1.3,1.1,1.2
366,2014,NEW YORK,White,"11,147","10,287","6,185",55.5,1.4,1.5,1.4,1.4,60.1,1.4,1.5,1.4,1.4,"3,683",33.0,1.4,1.5,1.4,1.4,35.8,1.4,1.5,1.4,1.4
368,2014,NEW YORK,Black,"2,581","2,211","1,385",53.7,3.6,3.8,3.3,3.7,62.6,3.6,3.8,3.3,3.7,762,29.5,3.6,3.8,3.3,3.7,34.5,3.6,3.8,3.3,3.7
370,2014,NEW YORK,Hispanic,"2,394","1,784",995,41.6,4.8,5.7,4.0,5.1,55.8,4.8,5.7,4.0,5.1,502,21.0,4.8,5.7,4.0,5.1,28.1,4.8,5.7,4.0,5.1
374,2014,NORTH CAROLINA,Total,"7,412","6,857","4,779",64.5,1.7,1.7,1.8,1.8,69.7,1.7,1.7,1.8,1.8,"3,170",42.8,1.7,1.7,1.8,1.8,46.2,1.7,1.7,1.8,1.8
377,2014,NORTH CAROLINA,White,"5,415","5,004","3,545",65.5,2.0,2.0,2.1,2.2,70.9,2.0,2.0,2.1,2.2,"2,325",42.9,2.0,2.0,2.1,2.2,46.5,2.0,2.0,2.1,2.2
379,2014,NORTH CAROLINA,Black,"1,572","1,527","1,040",66.1,4.4,4.4,4.6,4.7,68.1,4.4,4.4,4.6,4.7,735,46.7,4.4,4.4,4.6,4.7,48.1,4.4,4.4,4.6,4.7
381,2014,NORTH CAROLINA,Hispanic,602,204,107,17.7,7.5,16.8,5.5,14.7,52.3,7.5,16.8,5.5,14.7,53,8.8,7.5,16.8,5.5,14.7,26.0,7.5,16.8,5.5,14.7
385,2014,NORTH DAKOTA,Total,567,547,363,64.1,2.4,2.4,2.5,2.5,66.4,2.4,2.4,2.5,2.5,279,49.2,2.4,2.4,2.5,2.5,51.0,2.4,2.4,2.5,2.5
388,2014,NORTH DAKOTA,White,516,508,345,66.8,2.5,2.5,2.6,2.6,67.9,2.5,2.5,2.6,2.6,266,51.5,2.5,2.5,2.6,2.6,52.3,2.5,2.5,2.6,2.6
390,2014,NORTH DAKOTA,Black,10,6,2,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),2,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
392,2014,NORTH DAKOTA,Hispanic,19,14,5,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),2,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
396,2014,OHIO,Total,"8,772","8,509","5,657",64.5,1.5,1.5,1.6,1.6,66.5,1.5,1.5,1.6,1.6,"3,378",38.5,1.5,1.5,1.6,1.6,39.7,1.5,1.5,1.6,1.6
399,2014,OHIO,White,"7,404","7,289","4,869",65.8,1.7,1.7,1.7,1.7,66.8,1.7,1.7,1.7,1.7,"2,898",39.1,1.7,1.7,1.7,1.7,39.8,1.7,1.7,1.7,1.7
401,2014,OHIO,Black,"1,024",991,680,66.4,5.4,5.4,5.6,5.7,68.7,5.4,5.4,5.6,5.7,403,39.4,5.4,5.4,5.6,5.7,40.7,5.4,5.4,5.6,5.7
403,2014,OHIO,Hispanic,192,157,93,48.3,17.1,18.6,13.4,15.9,58.9,17.1,18.6,13.4,15.9,36,19.0,17.1,18.6,13.4,15.9,23.1,17.1,18.6,13.4,15.9
407,2014,OKLAHOMA,Total,"2,851","2,690","1,644",57.7,2.7,2.7,2.5,2.7,61.1,2.7,2.7,2.5,2.7,920,32.3,2.7,2.7,2.5,2.7,34.2,2.7,2.7,2.5,2.7
410,2014,OKLAHOMA,White,"2,262","2,149","1,343",59.4,3.0,3.0,2.9,3.0,62.5,3.0,3.0,2.9,3.0,751,33.2,3.0,3.0,2.9,3.0,35.0,3.0,3.0,2.9,3.0
412,2014,OKLAHOMA,Black,192,190,96,49.7,12.7,12.8,11.5,11.6,50.3,12.7,12.8,11.5,11.6,56,29.2,12.7,12.8,11.5,11.6,29.6,12.7,12.8,11.5,11.6
414,2014,OKLAHOMA,Hispanic,267,156,84,31.3,12.9,18.2,8.6,14.1,53.8,12.9,18.2,8.6,14.1,28,10.5,12.9,18.2,8.6,14.1,18.0,12.9,18.2,8.6,14.1
418,2014,OREGON,Total,"3,078","2,870","2,008",65.2,2.5,2.5,2.6,2.7,70.0,2.5,2.5,2.6,2.7,"1,594",51.8,2.5,2.5,2.6,2.7,55.5,2.5,2.5,2.6,2.7
421,2014,OREGON,White,"2,768","2,608","1,861",67.2,2.6,2.6,2.7,2.8,71.4,2.6,2.6,2.7,2.8,"1,510",54.5,2.6,2.6,2.7,2.8,57.9,2.6,2.6,2.7,2.8
423,2014,OREGON,Black,56,50,29,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),14,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
425,2014,OREGON,Hispanic,322,184,106,33.1,11.9,16.5,10.0,15.8,57.7,11.9,16.5,10.0,15.8,62,19.2,11.9,16.5,10.0,15.8,33.6,11.9,16.5,10.0,15.8
429,2014,PENNSYLVANIA,Total,"9,924","9,511","6,121",61.7,1.5,1.5,1.5,1.5,64.4,1.5,1.5,1.5,1.5,"3,803",38.3,1.5,1.5,1.5,1.5,40.0,1.5,1.5,1.5,1.5
432,2014,PENNSYLVANIA,White,"8,451","8,291","5,452",64.5,1.6,1.6,1.6,1.6,65.8,1.6,1.6,1.6,1.6,"3,375",39.9,1.6,1.6,1.6,1.6,40.7,1.6,1.6,1.6,1.6
434,2014,PENNSYLVANIA,Black,"1,001",920,492,49.2,5.8,6.0,5.5,5.8,53.5,5.8,6.0,5.5,5.8,341,34.1,5.8,6.0,5.5,5.8,37.1,5.8,6.0,5.5,5.8
436,2014,PENNSYLVANIA,Hispanic,689,540,260,37.7,8.8,10.2,6.8,8.5,48.1,8.8,10.2,6.8,8.5,119,17.3,8.8,10.2,6.8,8.5,22.1,8.8,10.2,6.8,8.5
440,2014,RHODE ISLAND,Total,819,765,486,59.4,2.6,2.6,2.5,2.7,63.6,2.6,2.6,2.5,2.7,331,40.4,2.6,2.6,2.5,2.7,43.3,2.6,2.6,2.5,2.7
443,2014,RHODE ISLAND,White,717,680,451,62.9,2.7,2.7,2.8,2.8,66.3,2.7,2.7,2.8,2.8,311,43.4,2.7,2.7,2.8,2.8,45.7,2.7,2.7,2.8,2.8
445,2014,RHODE ISLAND,Black,55,47,28,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),16,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
447,2014,RHODE ISLAND,Hispanic,75,45,22,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),13,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
451,2014,SOUTH CAROLINA,Total,"3,667","3,569","2,458",67.0,2.3,2.3,2.4,2.5,68.9,2.3,2.3,2.4,2.5,"1,514",41.3,2.3,2.3,2.4,2.5,42.4,2.3,2.3,2.4,2.5
454,2014,SOUTH CAROLINA,White,"2,622","2,557","1,778",67.8,2.7,2.7,2.9,2.9,69.6,2.7,2.7,2.9,2.9,"1,075",41.0,2.7,2.7,2.9,2.9,42.0,2.7,2.7,2.9,2.9
456,2014,SOUTH CAROLINA,Black,965,944,640,66.3,5.5,5.5,5.7,5.8,67.9,5.5,5.5,5.7,5.8,419,43.4,5.5,5.5,5.7,5.8,44.4,5.5,5.5,5.7,5.8
458,2014,SOUTH CAROLINA,Hispanic,171,106,48,28.1,16.1,22.5,9.8,15.2,45.1,16.1,22.5,9.8,15.2,14,8.1,16.1,22.5,9.8,15.2,13.0,16.1,22.5,9.8,15.2
462,2014,SOUTH DAKOTA,Total,625,618,401,64.2,2.6,2.6,2.7,2.7,64.9,2.6,2.6,2.7,2.7,273,43.7,2.6,2.6,2.7,2.7,44.1,2.6,2.6,2.7,2.7
465,2014,SOUTH DAKOTA,White,562,558,369,65.7,2.7,2.7,2.8,2.8,66.1,2.7,2.7,2.8,2.8,259,46.2,2.7,2.7,2.8,2.8,46.5,2.7,2.7,2.8,2.8
467,2014,SOUTH DAKOTA,Black,12,11,5,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),3,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
469,2014,SOUTH DAKOTA,Hispanic,12,10,3,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),-,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
473,2014,TENNESSEE,Total,"4,975","4,815","3,088",62.1,2.1,2.1,2.0,2.1,64.1,2.1,2.1,2.0,2.1,"1,763",35.4,2.1,2.1,2.0,2.1,36.6,2.1,2.1,2.0,2.1
476,2014,TENNESSEE,White,"4,014","3,895","2,545",63.4,2.3,2.3,2.3,2.3,65.3,2.3,2.3,2.3,2.3,"1,481",36.9,2.3,2.3,2.3,2.3,38.0,2.3,2.3,2.3,2.3
478,2014,TENNESSEE,Black,793,782,473,59.7,6.3,6.3,5.9,6.0,60.5,6.3,6.3,5.9,6.0,244,30.7,6.3,6.3,5.9,6.0,31.2,6.3,6.3,5.9,6.0
480,2014,TENNESSEE,Hispanic,202,105,42,20.6,13.4,22.5,8.2,15.3,39.8,13.4,22.5,8.2,15.3,13,6.6,13.4,22.5,8.2,15.3,12.7,13.4,22.5,8.2,15.3
484,2014,TEXAS,Total,"19,354","16,844","9,946",51.4,1.1,1.2,1.0,1.1,59.1,1.1,1.2,1.0,1.1,"5,836",30.2,1.1,1.2,1.0,1.1,34.6,1.1,1.2,1.0,1.1
487,2014,TEXAS,White,"15,676","13,693","8,124",51.8,1.2,1.3,1.1,1.2,59.3,1.2,1.3,1.1,1.2,"4,820",30.7,1.2,1.3,1.1,1.2,35.2,1.2,1.3,1.1,1.2
489,2014,TEXAS,Black,"2,327","2,198","1,334",57.3,3.8,3.8,3.6,3.7,60.7,3.8,3.8,3.6,3.7,777,33.4,3.8,3.8,3.6,3.7,35.3,3.8,3.8,3.6,3.7
491,2014,TEXAS,Hispanic,"6,762","4,878","2,255",33.4,2.7,3.4,2.1,2.8,46.2,2.7,3.4,2.1,2.8,"1,092",16.2,2.7,3.4,2.1,2.8,22.4,2.7,3.4,2.1,2.8
495,2014,UTAH,Total,"2,026","1,924","1,101",54.3,2.2,2.3,2.1,2.2,57.2,2.2,2.3,2.1,2.2,703,34.7,2.2,2.3,2.1,2.2,36.5,2.2,2.3,2.1,2.2
498,2014,UTAH,White,"1,919","1,840","1,064",55.5,2.3,2.3,2.2,2.3,57.8,2.3,2.3,2.2,2.3,678,35.3,2.3,2.3,2.2,2.3,36.8,2.3,2.3,2.2,2.3
500,2014,UTAH,Black,26,16,6,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),6,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
502,2014,UTAH,Hispanic,222,156,56,25.0,9.2,12.1,7.0,9.7,35.6,9.2,12.1,7.0,9.7,28,12.7,9.2,12.1,7.0,9.7,18.1,9.2,12.1,7.0,9.7
506,2014,VERMONT,Total,493,482,324,65.7,2.7,2.7,2.8,2.8,67.2,2.7,2.7,2.8,2.8,205,41.6,2.7,2.7,2.8,2.8,42.5,2.7,2.7,2.8,2.8
509,2014,VERMONT,White,475,466,318,67.0,2.7,2.7,2.8,2.9,68.3,2.7,2.7,2.8,2.9,202,42.6,2.7,2.7,2.8,2.9,43.5,2.7,2.7,2.8,2.9
511,2014,VERMONT,Black,4,4,2,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),-,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
513,2014,VERMONT,Hispanic,4,3,2,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),2,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
517,2014,VIRGINIA,Total,"6,221","5,888","3,924",63.1,1.9,1.9,1.9,2.0,66.6,1.9,1.9,1.9,2.0,"2,453",39.4,1.9,1.9,1.9,2.0,41.7,1.9,1.9,1.9,2.0
520,2014,VIRGINIA,White,"4,480","4,287","2,939",65.6,2.2,2.2,2.3,2.3,68.6,2.2,2.2,2.3,2.3,"1,924",43.0,2.2,2.2,2.3,2.3,44.9,2.2,2.2,2.3,2.3
522,2014,VIRGINIA,Black,"1,188","1,153",712,60.0,5.3,5.3,5.1,5.2,61.7,5.3,5.3,5.1,5.2,394,33.2,5.3,5.3,5.1,5.2,34.2,5.3,5.3,5.1,5.2
524,2014,VIRGINIA,Hispanic,389,236,112,28.9,11.1,15.6,8.8,13.6,47.4,11.1,15.6,8.8,13.6,60,15.4,11.1,15.6,8.8,13.6,25.4,11.1,15.6,8.8,13.6
528,2014,WASHINGTON,Total,"5,333","4,776","3,281",61.5,2.0,2.0,2.1,2.2,68.7,2.0,2.0,2.1,2.2,"2,390",44.8,2.0,2.0,2.1,2.2,50.0,2.0,2.0,2.1,2.2
531,2014,WASHINGTON,White,"4,238","3,939","2,819",66.5,2.2,2.2,2.3,2.4,71.6,2.2,2.2,2.3,2.4,"2,088",49.3,2.2,2.2,2.3,2.4,53.0,2.2,2.2,2.3,2.4
533,2014,WASHINGTON,Black,195,159,74,37.9,12.8,14.6,11.7,13.8,46.6,12.8,14.6,11.7,13.8,53,27.4,12.8,14.6,11.7,13.8,33.7,12.8,14.6,11.7,13.8
535,2014,WASHINGTON,Hispanic,635,378,169,26.7,8.4,12.2,6.8,10.6,44.8,8.4,12.2,6.8,10.6,95,15.0,8.4,12.2,6.8,10.6,25.1,8.4,12.2,6.8,10.6
539,2014,WEST VIRGINIA,Total,"1,449","1,440",896,61.8,2.5,2.5,2.5,2.5,62.2,2.5,2.5,2.5,2.5,484,33.4,2.5,2.5,2.5,2.5,33.6,2.5,2.5,2.5,2.5
542,2014,WEST VIRGINIA,White,"1,376","1,373",863,62.7,2.6,2.6,2.5,2.5,62.8,2.6,2.6,2.5,2.5,473,34.4,2.6,2.6,2.5,2.5,34.5,2.6,2.6,2.5,2.5
544,2014,WEST VIRGINIA,Black,41,41,17,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),5,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
546,2014,WEST VIRGINIA,Hispanic,18,16,11,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),3,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
550,2014,WISCONSIN,Total,"4,356","4,232","3,005",69.0,2.1,2.1,2.3,2.3,71.0,2.1,2.1,2.3,2.3,"2,343",53.8,2.1,2.1,2.3,2.3,55.4,2.1,2.1,2.3,2.3
553,2014,WISCONSIN,White,"3,933","3,826","2,791",71.0,2.2,2.2,2.4,2.4,72.9,2.2,2.2,2.4,2.4,"2,213",56.3,2.2,2.2,2.4,2.4,57.8,2.2,2.2,2.4,2.4
555,2014,WISCONSIN,Black,230,227,129,56.1,12.0,12.0,11.8,11.9,56.8,12.0,12.0,11.8,11.9,93,40.4,12.0,12.0,11.8,11.9,40.9,12.0,12.0,11.8,11.9
557,2014,WISCONSIN,Hispanic,248,168,77,31.0,14.0,18.3,12.4,17.1,45.8,14.0,18.3,12.4,17.1,53,21.4,14.0,18.3,12.4,17.1,31.7,14.0,18.3,12.4,17.1
561,2014,WYOMING,Total,441,427,241,54.7,2.7,2.7,2.6,2.7,56.5,2.7,2.7,2.6,2.7,172,39.1,2.7,2.7,2.6,2.7,40.3,2.7,2.7,2.6,2.7
564,2014,WYOMING,White,407,399,227,55.8,2.8,2.8,2.7,2.8,57.0,2.8,2.8,2.7,2.8,164,40.3,2.8,2.8,2.7,2.8,41.1,2.8,2.8,2.7,2.8
566,2014,WYOMING,Black,11,9,5,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),3,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
568,2014,WYOMING,Hispanic,29,20,9,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),6,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
0,2016,US,Total,"245,502","224,059","157,596",64.2,0.3,0.3,0.3,0.3,70.3,0.3,0.3,0.3,0.3,"137,537",56,0.3,0.3,0.3,0.3,61.4,0.3,0.3,0.3,0.3
3,2016,US,White,"192,129","177,865","127,463",66.3,0.3,0.3,0.3,0.4,71.7,0.3,0.3,0.3,0.4,"111,891",58.2,0.3,0.3,0.3,0.4,62.9,0.3,0.3,0.3,0.4
5,2016,US,Black,"30,608","28,808","19,984",65.3,1,1,1.1,1.1,69.4,1,1,1.1,1.1,"17,119",55.9,1,1,1.1,1.1,59.4,1,1,1.1,1.1
7,2016,US,Hispanic,"38,990","26,662","15,267",39.2,1.2,1.5,1.1,1.5,57.3,1.2,1.5,1.1,1.5,"12,682",32.5,1.2,1.5,1.1,1.5,47.6,1.2,1.5,1.1,1.5
11,2016,ALABAMA,Total,"3,717","3,651","2,526",68,2.5,2.5,2.7,2.7,69.2,2.5,2.5,2.7,2.7,"2,095",56.4,2.5,2.5,2.7,2.7,57.4,2.5,2.5,2.7,2.7
14,2016,ALABAMA,White,"2,633","2,604","1,772",67.3,3,3,3.2,3.2,68,3,3,3.2,3.2,"1,465",55.6,3,3,3.2,3.2,56.2,3,3,3.2,3.2
16,2016,ALABAMA,Black,962,953,694,72.2,5.7,5.7,6.2,6.3,72.8,5.7,5.7,6.2,6.3,579,60.2,5.7,5.7,6.2,6.3,60.8,5.7,5.7,6.2,6.3
18,2016,ALABAMA,Hispanic,117,83,32,B,B,B,B,B,B,B,B,B,B,27,B,B,B,B,B,B,B,B,B,B
22,2016,ALASKA,Total,518,502,358,69.1,2.6,2.6,2.8,2.8,71.3,2.6,2.6,2.8,2.8,308,59.4,2.6,2.6,2.8,2.8,61.3,2.6,2.6,2.8,2.8
25,2016,ALASKA,White,346,340,261,75.5,3,3,3.3,3.3,76.8,3,3,3.3,3.3,234,67.7,3,3,3.3,3.3,68.9,3,3,3.3,3.3
27,2016,ALASKA,Black,17,17,10,B,B,B,B,B,B,B,B,B,B,8,B,B,B,B,B,B,B,B,B,B
29,2016,ALASKA,Hispanic,24,23,17,B,B,B,B,B,B,B,B,B,B,17,B,B,B,B,B,B,B,B,B,B
33,2016,ARIZONA,Total,"5,196","4,585","3,145",60.5,2.2,2.3,2.3,2.4,68.6,2.2,2.3,2.3,2.4,"2,769",53.3,2.2,2.3,2.3,2.4,60.4,2.2,2.3,2.3,2.4
36,2016,ARIZONA,White,"4,471","3,950","2,773",62,2.4,2.4,2.5,2.5,70.2,2.4,2.4,2.5,2.5,"2,480",55.5,2.4,2.4,2.5,2.5,62.8,2.4,2.4,2.5,2.5
38,2016,ARIZONA,Black,252,237,165,65.6,12,12,12.6,13,69.8,12,12,12.6,13,121,47.9,12,12,12.6,13,50.9,12,12,12.6,13
40,2016,ARIZONA,Hispanic,"1,613","1,145",654,40.5,6.4,7.6,6.1,7.7,57.1,6.4,7.6,6.1,7.7,543,33.7,6.4,7.6,6.1,7.7,47.4,6.4,7.6,6.1,7.7
44,2016,ARKANSAS,Total,"2,216","2,116","1,456",65.7,2.7,2.6,2.8,2.8,68.8,2.7,2.6,2.8,2.8,"1,241",56,2.7,2.6,2.8,2.8,58.7,2.7,2.6,2.8,2.8
47,2016,ARKANSAS,White,"1,822","1,749","1,196",65.6,2.9,2.9,3.1,3.1,68.4,2.9,2.9,3.1,3.1,"1,032",56.7,2.9,2.9,3.1,3.1,59,2.9,2.9,3.1,3.1
49,2016,ARKANSAS,Black,321,316,231,71.9,8,7.9,8.8,8.8,73,8,7.9,8.8,8.8,186,57.9,8,7.9,8.8,8.8,58.8,8,7.9,8.8,8.8
51,2016,ARKANSAS,Hispanic,135,77,29,B,B,B,B,B,B,B,B,B,B,24,B,B,B,B,B,B,B,B,B,B
55,2016,CALIFORNIA,Total,"29,894","24,890","16,096",53.8,1,1,1,1,64.7,1,1,1,1,"14,416",48.2,1,1,1,1,57.9,1,1,1,1
58,2016,CALIFORNIA,White,"21,592","18,104","12,084",56,1.1,1.2,1.1,1.2,66.7,1.1,1.2,1.1,1.2,"10,908",50.5,1.1,1.2,1.1,1.2,60.3,1.1,1.2,1.1,1.2
60,2016,CALIFORNIA,Black,"1,849","1,768","1,018",55,4.6,4.7,4.7,4.8,57.6,4.6,4.7,4.7,4.8,856,46.3,4.6,4.7,4.7,4.8,48.4,4.6,4.7,4.7,4.8
62,2016,CALIFORNIA,Hispanic,"10,221","7,092","3,882",38,2.5,3.1,2.4,3.1,54.7,2.5,3.1,2.4,3.1,"3,345",32.7,2.5,3.1,2.4,3.1,47.2,2.5,3.1,2.4,3.1
66,2016,COLORADO,Total,"4,242","3,895","2,893",68.2,2.4,2.3,2.5,2.5,74.3,2.4,2.3,2.5,2.5,"2,707",63.8,2.4,2.3,2.5,2.5,69.5,2.4,2.3,2.5,2.5
69,2016,COLORADO,White,"3,743","3,517","2,663",71.2,2.5,2.4,2.6,2.5,75.7,2.5,2.4,2.6,2.5,"2,494",66.6,2.5,2.4,2.6,2.5,70.9,2.5,2.4,2.6,2.5
71,2016,COLORADO,Black,185,167,124,67,13.9,13.7,13.9,13.7,74.1,13.9,13.7,13.9,13.7,124,67,13.9,13.7,13.9,13.7,74.1,13.9,13.7,13.9,13.7
73,2016,COLORADO,Hispanic,633,426,272,42.9,10.3,12.2,10.1,12.6,63.8,10.3,12.2,10.1,12.6,237,37.4,10.3,12.2,10.1,12.6,55.6,10.3,12.2,10.1,12.6
77,2016,CONNECTICUT,Total,"2,759","2,483","1,763",63.9,2.6,2.6,2.7,2.8,71,2.6,2.6,2.7,2.8,"1,586",57.5,2.6,2.6,2.7,2.8,63.9,2.6,2.6,2.7,2.8
80,2016,CONNECTICUT,White,"2,258","2,090","1,538",68.1,2.8,2.8,3,3,73.6,2.8,2.8,3,3,"1,378",61,2.8,2.8,3,3,65.9,2.8,2.8,3,3
82,2016,CONNECTICUT,Black,297,266,157,53,10.1,10.5,10.1,10.7,59.2,10.1,10.5,10.1,10.7,142,47.9,10.1,10.5,10.1,10.7,53.5,10.1,10.5,10.1,10.7
84,2016,CONNECTICUT,Hispanic,417,278,151,36.3,10.7,13.6,10.3,13.6,54.4,10.7,13.6,10.3,13.6,131,31.5,10.7,13.6,10.3,13.6,47.2,10.7,13.6,10.3,13.6
88,2016,DELAWARE,Total,729,669,487,66.8,2.6,2.5,2.7,2.8,72.8,2.6,2.5,2.7,2.8,417,57.2,2.6,2.5,2.7,2.8,62.3,2.6,2.5,2.7,2.8
91,2016,DELAWARE,White,527,494,372,70.6,2.9,2.9,3.1,3.2,75.4,2.9,2.9,3.1,3.2,319,60.6,2.9,2.9,3.1,3.2,64.7,2.9,2.9,3.1,3.2
93,2016,DELAWARE,Black,148,144,96,64.9,7,7,7.3,7.4,66.5,7,7,7.3,7.4,82,55.1,7,7,7.3,7.4,56.5,7,7,7.3,7.4
95,2016,DELAWARE,Hispanic,66,39,19,B,B,B,B,B,B,B,B,B,B,14,B,B,B,B,B,B,B,B,B,B
