,year,State,Race,Total population,Total citizen population,Total registered,Percent registered (Total),Margin of error 1,Margin of error 1,Margin of error 1,Margin of error 1,Percent registered (Citizen),Margin of error 1,Margin of error 1,Margin of error 1,Margin of error 1,Total voted,Percent voted (Total),Margin of error 1,Margin of error 1,Margin of error 1,Margin of error 1,Percent voted (Citizen),Margin of error 1,Margin of error 1,Margin of error 1,Margin of error 1
282,2010,MISSISSIPPI,Hispanic,17,8,5,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),3,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
286,2010,MISSOURI,Total,"4,506","4,387","3,013",66.9,2.1,2.1,2.2,2.3,68.7,2.1,2.1,2.2,2.3,"2,004",44.5,2.1,2.1,2.2,2.3,45.7,2.1,2.1,2.2,2.3
289,2010,MISSOURI,White,"3,900","3,811","2,622",67.2,2.3,2.3,2.4,2.4,68.8,2.3,2.3,2.4,2.4,"1,755",45,2.3,2.3,2.4,2.4,46.1,2.3,2.3,2.4,2.4
291,2010,MISSOURI,Black,484,472,338,70,7.6,7.6,8.3,8.4,71.8,7.6,7.6,8.3,8.4,224,46.4,7.6,7.6,8.3,8.4,47.6,7.6,7.6,8.3,8.4
293,2010,MISSOURI,Hispanic,140,65,37,26.7,17.7,29.1,15.1,28.5,57.7,17.7,29.1,15.1,28.5,24,17.2,17.7,29.1,15.1,28.5,37.2,17.7,29.1,15.1,28.5
297,2010,MONTANA,Total,753,744,491,65.2,2.5,2.5,2.6,2.6,66,2.5,2.5,2.6,2.6,386,51.3,2.5,2.5,2.6,2.6,51.9,2.5,2.5,2.6,2.6
300,2010,MONTANA,White,678,672,452,66.7,2.6,2.6,2.7,2.7,67.3,2.6,2.6,2.7,2.7,359,52.9,2.6,2.6,2.7,2.7,53.4,2.6,2.6,2.7,2.7
302,2010,MONTANA,Black,5,5,2,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),2,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
304,2010,MONTANA,Hispanic,22,20,13,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),9,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
308,2010,NEBRASKA,Total,"1,323","1,240",804,60.8,2.6,2.6,2.6,2.7,64.8,2.6,2.6,2.6,2.7,511,38.7,2.6,2.6,2.6,2.7,41.3,2.6,2.6,2.6,2.7
311,2010,NEBRASKA,White,"1,216","1,165",769,63.3,2.7,2.7,2.7,2.8,66,2.7,2.7,2.7,2.8,493,40.6,2.7,2.7,2.7,2.8,42.3,2.7,2.7,2.7,2.8
313,2010,NEBRASKA,Black,45,31,13,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),5,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
315,2010,NEBRASKA,Hispanic,101,55,25,25,13.1,20.6,9.7,17,46.4,13.1,20.6,9.7,17,12,11.6,13.1,20.6,9.7,17,21.6,13.1,20.6,9.7,17
319,2010,NEVADA,Total,"1,957","1,725",996,50.9,2.6,2.7,2.5,2.7,57.8,2.6,2.7,2.5,2.7,731,37.3,2.6,2.7,2.5,2.7,42.4,2.6,2.7,2.5,2.7
322,2010,NEVADA,White,"1,534","1,360",819,53.4,2.9,3,2.8,3.1,60.2,2.9,3,2.8,3.1,608,39.6,2.9,3,2.8,3.1,44.7,2.9,3,2.8,3.1
324,2010,NEVADA,Black,148,139,69,46.7,11.3,11.7,10.6,11.1,50,11.3,11.7,10.6,11.1,48,32.2,11.3,11.7,10.6,11.1,34.4,11.3,11.7,10.6,11.1
326,2010,NEVADA,Hispanic,399,245,103,25.9,7.9,11.3,6.7,10.3,42.3,7.9,11.3,6.7,10.3,68,17.1,7.9,11.3,6.7,10.3,27.9,7.9,11.3,6.7,10.3
330,2010,NEW HAMPSHIRE,Total,"1,024","1,002",666,65,2.5,2.6,2.7,2.7,66.5,2.5,2.6,2.7,2.7,470,45.9,2.5,2.6,2.7,2.7,46.9,2.5,2.6,2.7,2.7
333,2010,NEW HAMPSHIRE,White,976,964,647,66.2,2.6,2.6,2.7,2.7,67.1,2.6,2.6,2.7,2.7,456,46.7,2.6,2.6,2.7,2.7,47.4,2.6,2.6,2.7,2.7
335,2010,NEW HAMPSHIRE,Black,12,11,5,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),4,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
337,2010,NEW HAMPSHIRE,Hispanic,12,11,5,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),3,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
341,2010,NEW JERSEY,Total,"6,581","5,719","3,656",55.6,1.8,1.9,1.8,2,63.9,1.8,1.9,1.8,2,"2,383",36.2,1.8,1.9,1.8,2,41.7,1.8,1.9,1.8,2
344,2010,NEW JERSEY,White,"5,115","4,529","2,921",57.1,2.1,2.1,2,2.2,64.5,2.1,2.1,2,2.2,"1,890",36.9,2.1,2.1,2,2.2,41.7,2.1,2.1,2,2.2
346,2010,NEW JERSEY,Black,889,832,555,62.5,5.9,6,6.1,6.3,66.8,5.9,6,6.1,6.3,390,43.9,5.9,6,6.1,6.3,46.9,5.9,6,6.1,6.3
348,2010,NEW JERSEY,Hispanic,"1,136",628,284,25,6.1,9.4,5.1,8.5,45.2,6.1,9.4,5.1,8.5,177,15.5,6.1,9.4,5.1,8.5,28.1,6.1,9.4,5.1,8.5
