Year,State,Race,Total population,Total voted,Education,Income,Political Power
2012,ARIZONA,White,4130,2123,0.5620140998133029,26000.0,0.14501812455100627
2012,ARIZONA,Black,211,95,0.5254901960784314,22000.0,-0.3812909258072256
2012,ARKANSAS,White,1788,941,0.41366823772847455,21400.0,-0.47369325337065443
2012,ARKANSAS,Black,313,155,0.3450965824665676,15300.0,-1.272935666754969
2012,CALIFORNIA,White,21330,10391,0.5742311609271806,28300.0,0.46329224292193893
2012,CALIFORNIA,Black,1810,1063,0.5495926451902234,20000.0,-0.6336356113573858
2012,COLORADO,White,3474,2345,0.6193855578806903,30000.0,0.6697461434777429
2012,COLORADO,Black,140,69,0.5008183306055647,20000.0,-0.6431548305431073
2012,CONNECTICUT,White,2238,1352,0.5889663130797568,35000.0,1.3083971280741762
2012,CONNECTICUT,Black,279,159,0.4155031295137217,20300.0,-0.6171476284995258
2012,DELAWARE,White,521,336,0.5118978525827046,30300.0,0.6880965105443098
2012,DELAWARE,Black,142,86,0.4472168905950096,21100.0,-0.5092953033938218
2012,DISTRICT OF COLUMBIA,White,246,161,0.9088435374149659,60000.0,4.579973678390483
2012,DISTRICT OF COLUMBIA,Black,244,177,0.4362325371789094,21000.0,-0.5236886995868939
2012,FLORIDA,White,12054,6712,0.5270109535052993,25000.0,0.020735774944637672
2012,FLORIDA,Black,2244,1104,0.4121719904579042,18000.0,-0.9121801881220654
2012,GEORGIA,White,4659,2683,0.5215110413630759,27000.0,0.26892144494611053
2012,GEORGIA,Black,2151,1340,0.4395194697597349,18000.0,-0.9077999184254352
2012,HAWAII,White,238,153,0.6606875934230194,34400.0,1.2392289733472495
2012,HAWAII,Black,18,12,0.5866666666666667,30000.0,0.6600053511494681
2012,IDAHO,White,1077,661,0.5051515751931841,22500.0,-0.3186691007426174
2012,IDAHO,Black,7,0,0.4705882352941176,21500.0,-0.45433186991630253
2012,ILLINOIS,White,7673,4275,0.5250819739044069,29000.0,0.5311509203647381
2012,ILLINOIS,Black,1322,918,0.45704753961634703,17600.0,-0.9577414816057231
2012,INDIANA,White,4349,2509,0.4321927983587615,25000.0,-0.0030250956628945606
2012,INDIANA,Black,385,263,0.4103671706263499,16300.0,-1.1338660470024955
2012,IOWA,White,2173,1482,0.4696996234346265,25600.0,0.07759920720006133
2012,IOWA,Black,54,33,0.4297082228116711,14300.0,-1.3894766935428287
2012,KANSAS,White,1851,1148,0.508770103575704,25000.0,0.005488742703186886
2012,KANSAS,Black,105,54,0.4631043256997455,18900.0,-0.7908267988814239
2012,KENTUCKY,White,2966,1733,0.4270516717325228,22000.0,-0.39262043843198585
2012,KENTUCKY,Black,223,125,0.3977272727272727,16350.0,-1.1295852717851136
2012,LOUISIANA,White,2242,1421,0.4626207672826189,26100.0,0.1410058684673431
2012,LOUISIANA,Black,996,692,0.34891038340519753,15000.0,-1.3100252733141247
2012,MAINE,White,1001,682,0.48512173128945,23000.0,-0.2571933808224892
2012,MAINE,Black,8,4,0.3809523809523809,14400.0,-1.3840014453323712
2012,MARYLAND,White,2837,1711,0.5876178994397561,37900.0,1.683162174999583
2012,MARYLAND,Black,1276,788,0.5011538461538462,29400.0,0.5713189451580352
2012,MASSACHUSETTS,White,4358,3009,0.6010735914846761,32000.0,0.9263565194380696
2012,MASSACHUSETTS,Black,385,211,0.4615384615384616,20000.0,-0.6487792765387086
2012,MICHIGAN,White,6103,4065,0.4884598099640473,24500.0,-0.05613540376901662
2012,MICHIGAN,Black,1028,627,0.435652853792025,16100.0,-1.1550479871445785
2012,MINNESOTA,White,3639,2646,0.5272127542605828,29000.0,0.5272551570007273
2012,MINNESOTA,Black,179,88,0.4280860702151755,14000.0,-1.4282951763521203
2012,MISSISSIPPI,White,1355,951,0.4898993838234147,23600.0,-0.17852263200439802
2012,MISSISSIPPI,Black,748,613,0.3877551020408163,13800.0,-1.459227779163567
2012,MISSOURI,White,3887,2452,0.4514124720146907,23500.0,-0.19398947042080103
2012,MISSOURI,Black,484,313,0.42242538316751815,17900.0,-0.9254757467486531
2012,MONTANA,White,698,461,0.521215680516811,24000.0,-0.123148509798435
2012,MONTANA,Black,2,0,0.6153846153846154,21000.0,-0.4969728764511255
2012,NEBRASKA,White,1265,750,0.5136766503667481,26000.0,0.1344462685806803
2012,NEBRASKA,Black,51,29,0.4126582278481013,15000.0,-1.3017366791185194
2012,NEVADA,White,1627,845,0.5114662462376379,28035.0,0.39700753669614913
2012,NEVADA,Black,169,101,0.4666130329847144,22800.0,-0.286975778380715
2012,NEW HAMPSHIRE,White,980,670,0.5624063155790946,30000.0,0.6576859044660988
2012,NEW HAMPSHIRE,Black,12,6,0.5287356321839081,17000.0,-1.0261826630428577
2012,NEW JERSEY,White,5173,2907,0.5547744210104081,35000.0,1.3067665469693508
2012,NEW JERSEY,Black,907,540,0.447784146511953,23800.0,-0.159838458633348
2012,NEW MEXICO,White,1310,789,0.5516699822008166,24300.0,-0.07909524931736164
2012,NEW MEXICO,Black,43,24,0.5408163265306123,19800.0,-0.6630266445362165
2012,NEW YORK,White,10925,5781,0.5516381732235145,29804.0,0.6425492036963734
2012,NEW YORK,Black,2482,1456,0.4601749406244569,21100.0,-0.5043540727832242
2012,NORTH CAROLINA,White,5453,3276,0.5430425762737672,26150.0,0.1636711201950021
2012,NORTH CAROLINA,Black,1529,1203,0.4190008441408948,17000.0,-1.0404389515011974
2012,NORTH DAKOTA,White,471,305,0.5217737124676874,28520.0,0.45984470014489803
2012,NORTH DAKOTA,Black,6,2,0.38461538461538464,15400.0,-1.2544189547423805
2012,OHIO,White,7473,4565,0.4532660896552647,25000.0,0.004428493361868771
2012,OHIO,Black,1028,699,0.4160300715411665,15860.0,-1.1888897976842463
2012,OKLAHOMA,White,2072,1101,0.4475286714706181,23390.0,-0.21144803216874455
2012,OKLAHOMA,Black,191,102,0.4392727272727273,17000.0,-1.0394829446173663
2012,OREGON,White,2633,1733,0.5647590953785644,25000.0,0.015105964527385295
2012,OREGON,Black,57,26,0.5552631578947368,17150.0,-1.0027702390371307
2012,PENNSYLVANIA,White,8382,5074,0.4414064762787465,25500.0,0.06828250468919711
2012,PENNSYLVANIA,Black,1006,614,0.3986804901036758,16800.0,-1.0703396812678472
2012,RHODE ISLAND,White,713,420,0.5498607242339832,28000.0,0.3972663738182926
2012,RHODE ISLAND,Black,50,30,0.4506329113924051,17600.0,-0.9605133447240773
2012,SOUTH CAROLINA,White,2508,1515,0.5283386037460472,25202.0,0.035325368427334344
2012,SOUTH CAROLINA,Black,919,631,0.3710582076529976,15300.0,-1.2680873352927493
2012,SOUTH DAKOTA,White,541,341,0.4900161899622234,25000.0,0.0009344102410515872
2012,SOUTH DAKOTA,Black,6,0,0.2857142857142857,20400.0,-0.6242017929654169
2012,TENNESSEE,White,3925,2098,0.4526447509059152,24000.0,-0.1297136404818321
2012,TENNESSEE,Black,768,441,0.40565118544982137,18000.0,-0.9147932299200268
2012,TEXAS,White,15029,6900,0.5058788836548131,26000.0,0.14840628379830859
